vehicle_id,trip_id,type,category,description,cost,date
a1b2c3d4-e5f6-7890-abcd-ef1234567890,,toll,repair,Clutch plate replacement,15000,2026-06-10
a1b2c3d4-e5f6-7890-abcd-ef1234567891,,toll,toll,Mumbai Pune Expressway toll,850,2026-06-05
a1b2c3d4-e5f6-7890-abcd-ef1234567892,,toll,toll,Delhi Jaipur Highway toll,620,2026-06-05
a1b2c3d4-e5f6-7890-abcd-ef1234567893,,toll,insurance,Annual vehicle insurance renewal,45000,2026-01-15
a1b2c3d4-e5f6-7890-abcd-ef1234567894,,toll,fine,Traffic violation fine Bangalore,2500,2026-06-20
a1b2c3d4-e5f6-7890-abcd-ef1234567895,,toll,parking,Overnight parking Chennai depot,400,2026-06-15
a1b2c3d4-e5f6-7890-abcd-ef1234567896,,toll,toll,Hyderabad Vizag toll plaza,1200,2026-06-20
a1b2c3d4-e5f6-7890-abcd-ef1234567897,,toll,other,Washing and detailing,600,2026-07-01
a1b2c3d4-e5f6-7890-abcd-ef1234567898,,toll,repair,Windshield replacement,3500,2026-07-05
a1b2c3d4-e5f6-7890-abcd-ef1234567899,,toll,toll,Delhi Agra Yamuna Expressway,480,2026-06-25
