trip_number,source,destination,vehicle_id,driver_id,cargo_description,cargo_weight,planned_distance,status,scheduled_departure,revenue
TRIP-2026-0001,Mumbai,Pune,a1b2c3d4-e5f6-7890-abcd-ef1234567890,d1e2f3a4-b5c6-7890-abcd-ef1234567890,Electronics components,12500,150,Completed,2026-06-01T06:00:00Z,45000
TRIP-2026-0002,Delhi,Jaipur,a1b2c3d4-e5f6-7890-abcd-ef1234567891,d1e2f3a4-b5c6-7890-abcd-ef1234567891,FMCG goods,8200,280,Completed,2026-06-05T05:30:00Z,62000
TRIP-2026-0003,Bangalore,Chennai,a1b2c3d4-e5f6-7890-abcd-ef1234567892,d1e2f3a4-b5c6-7890-abcd-ef1234567892,Automotive parts,15800,340,Dispatched,2026-07-10T04:00:00Z,78000
TRIP-2026-0004,Ahmedabad,Surat,a1b2c3d4-e5f6-7890-abcd-ef1234567893,d1e2f3a4-b5c6-7890-abcd-ef1234567893,Textile rolls,6500,260,Draft,2026-07-15T06:30:00Z,0
TRIP-2026-0005,Kolkata,Howrah,a1b2c3d4-e5f6-7890-abcd-ef1234567894,d1e2f3a4-b5c6-7890-abcd-ef1234567894,Steel coils,22000,35,Completed,2026-06-10T07:00:00Z,28000
TRIP-2026-0006,Chennai,Coimbatore,a1b2c3d4-e5f6-7890-abcd-ef1234567895,d1e2f3a4-b5c6-7890-abcd-ef1234567895,Pharmaceutical goods,3200,510,Completed,2026-06-15T05:00:00Z,95000
TRIP-2026-0007,Hyderabad,Vizag,a1b2c3d4-e5f6-7890-abcd-ef1234567896,d1e2f3a4-b5c6-7890-abcd-ef1234567896,Chemical drums,18500,620,Cancelled,2026-06-20T04:30:00Z,0
TRIP-2026-0008,Lucknow,Kanpur,a1b2c3d4-e5f6-7890-abcd-ef1234567897,d1e2f3a4-b5c6-7890-abcd-ef1234567897,Food grain sacks,14000,75,Draft,2026-07-20T06:00:00Z,0
TRIP-2026-0009,Pune,Nagpur,a1b2c3d4-e5f6-7890-abcd-ef1234567898,d1e2f3a4-b5c6-7890-abcd-ef1234567898,Construction material,19800,780,Dispatched,2026-07-08T03:30:00Z,120000
TRIP-2026-0010,Delhi,Agra,a1b2c3d4-e5f6-7890-abcd-ef1234567899,d1e2f3a4-b5c6-7890-abcd-ef1234567899,Industrial machinery,24000,230,Completed,2026-06-25T05:00:00Z,55000
